Movie character Arwen Undómiel in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Elven princess, Middle-earth, Romantic fantasy, Flowing dresses, Enchanted forests, Ethereal beauty :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Judy Barton in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Vertigo, Deceptive, Obsession, Blonde, San Francisco, Golden Gate Bridge :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Madeleine Elster in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Vertigo, Mysterious, Elegant, Graceful, San Francisco, Flower bouquet :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Debby Marsh in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [The Big Heat, Femme fatale, Gangster's moll, Tough, Cigarette, Evening gown :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Amelie in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [French romantic comedy, Quirky, Montmartre, Innocent, Parisian, Garden gnome :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Alex Forrest in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Fatal Attraction, Obsession, Stalker, Rabbit, New York City, Blonde :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Blanche Dubois in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [A Streetcar Named Desire, Fading beauty, Southern belle, Delusional, Mint julep, Tennessee Williams :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Paikea Apirana in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Whale Rider, Maori girl, Destiny, Whales, New Zealand, Ocean :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Margot Tenenbaum in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [The Royal Tenenbaums, Troubled genius, Family dysfunction, Fur coat, Lacrosse, Richie Tenenbaum :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Holly Golightly in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Breakfast at Tiffany's, Audrey Hepburn, Elegant, Chic, Little black dress, Breakfast at Tiffany's :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Mia Williams in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [La La Land, Struggling actress, Dreamer, Los Angeles, Audition, City of Stars :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Jessica Rabbit in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Who Framed Roger Rabbit, Sultry, Femme fatale, Cartoon, Red dress, Hollywood :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Betty Elms in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Mulholland Drive, Aspiring actress, Mysterious, Blonde, Los Angeles, Dreams :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Diane Selwyn in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Mulholland Drive, Amnesiac, Dark secrets, Hollywood, Conspiracy, Blue key :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Scarlett O'Hara in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Gone with the Wind, Southern belle, Determination, Civil War, Tara, Green dress :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Louise Sawyer in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Thelma & Louise, Free spirit, Outlaw, Gun, Desert, Thunderbird convertible :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Nina Sayers in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Black Swan, Ballerina, Psychological thriller, Obsession, Duality, Tutu :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Veronic Sawyer in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Heathers, Teenage rebellion, Dark comedy, Shoulder pads, Red scrunchie, High school :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Mia Wallace in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Pulp Fiction, Mysterious, Femme fatale, Overdose, Bob haircut, Vincent Vega :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Clarice Starling in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [The Silence of the Lambs, FBI agent, Psychological thriller, Hannibal Lecter, Moth, Dark past :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Laurie Strode in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Halloween, Final girl, Slasher, Michael Myers, Pumpkin, Haunted house :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Carrie White in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Carrie, Telekinesis, High school outcast, Prom, Blood, Sissy Spacek :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Bridget Gregory in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [The Last Seduction, Manipulative, Femme fatale, Deceptive, Betrayal, Red lipstick :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Lisbeth Salander in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [The Girl with the Dragon Tattoo, Hacker, Revenge, Dark past, Swedish, Piercings :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Jackie Brown in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Jackie Brown, Flight attendant, Blaxploitation, Money, Pam Grier, 70s fashion :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Sugar Kane Kowalcyzk in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Some Like It Hot, Marilyn Monroe, Blonde bombshell, Ukulele, Jazz, Beach :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Hildy Johnson in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [His Girl Friday, Fast-talking journalist, Screwball comedy, Newsroom, Newspaper, Fedora :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
Movie character Annie Hall in a Balenciaga fashion photoshoot, high fashion classy, glamorous glamour, full body shot, Versace, Vogue, intricate, set pieces, intricate set, vogue magazine [Annie Hall, Neurotic comedian, Romantic comedy, Diane Keaton, New York City, Bow tie :: 10] <lora:HP_Balenciaga:1> BalenciagaStyle, canon, dramatic, cinematic lighting, depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain
